Product Name,Brand Name,Price,Quantity/Size,Shade/Color,Ingredients,Product Type,Usage Instructions,Expiration Date,Manufacturing Date,Country of Origin,Special Features,Certifications,Description,Image Path,Benefits,Skin Type Compatibility,Packaging,Product Images,Return Policy,Disclaimer
Maybelline New York Hypercurl Waterproof Mascara,Maybelline New York,281,9.2 ml,Black,"Isododecane,Cera Alba / Beeswax,Copernicia Cerifera Cera/Carnauba Wax, Disteardimonium Hectorite, Paraffin, Aqua / Water, Oryza Sativa Cera / Rice Bran Wax, Alcohol Denat., Vp/Eicosene Copolymer, Propylene Carbonate, Allyl Stearate/Va Copolymer, Polyvinyl Laurate, Talc, Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer, Peg-30 Glyceryl Stearate, Poly C10-30 Alkyl Acrylate, Parfum / Fragrance, Trimethylsiloxysilicate, Hydrogenated Jojoba Oil, Rayon, Polyacrylate Crosspolymer-6, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.",Liquid,"Start at the base of your lashes and slowly drag the wand upwards in a zig-zag motion.
Use the wand to comb out any clumps on your lash tips.",36 months,,China,Volumnising,Ophthalmologically Tested,"Maybelline New York’s Volum 'Express Hypercurl Mascara gives curled eyelashes with a curl lock formula that lasts for up to 18 hours. Available in washable black and waterproof black variants. Just one sweep with the mascara wand helps you get lashes that have spectacular volume and thickness. The Hypercurl formula in the mascara works to achieve a dual effect: it instantly builds 3 times the volume in your lashes and helps curl them, giving you thick, curly lashes that look ultra-glam

About the product
VOLUME: Wax coating & special bristles that can reach the lash line up to the tip. Gives 75% curled effect with a thick pad and lasts 3 times longer with the 18-hour formula.
DESIGN: unique anti-clump applicator brush that separates each lash while curling them, avoiding the clumpy, messy effect
CARE: Ophthalmologist tested and suitable to wear with contact lenses. Suitable for wearing all day.
EASE: Coats every lash from root to tip in a single flick. Available in waterproof and washable variants
Smudge-proof and waterproof.
No-melt climate-proof formula.
Suitable to wear with contact lenses.",MHC.JPG,Waterproof,,Pack,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Faces Canada Ultime Pro Splash Nail Paint,Faces Canada ,71,8 ml,Black Beauty 15,"Titanium Dioxide CI.77891,Red Iron Oxide CI.77491,Black Iron Oxide CI.77499, Bismuth Oxychloride CI.77163, D & C Red 34, Ca Lake CI.15880, FD&C Yellow 5, Al Lake CI.11680, D & C Red 6, Ba Lake CI.15850:2, D & C Red 7, Ca Lake CI.15850:1, D&C Violet 2 CI.60725, Black 2 CI.77266, Ferric Ferrocyanide CI.77510, COLORED SOLUTION & PEARLS: MAY CONTAIN-QS, - Ethyl Acetate IS, Butyl Acetate IP, Nitrocellulose, Polyester-23, Acetyl Tributyl Citrate, Isopropyl Alcohol IS, Stearalkonium Bentonite , Styrene/Acrylates Copolymer, Diacetone Alcohol, Sucrose Acetate Isobutyrate, Acrylates Copolymer , Silica, Phosphoric Acid",Liquid,Shake well before use. Apply two thin coats of the FACES CANADA Ultime Pro Splash Nail Enamel to each nail. Work on both hands at the same time to ensure proper drying.,36 months,,India,Quick Dry,"PETA Certified,Cruelty-Free,Paraben-Free","Intensely pigmented formula.
Quick drying texture, dries in 4 to 5 sec.
Glossy finish.
Vibrant and subtle shades to match every occasion.",FCups.JPG,,,Glass Bottle,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
"Plum Color Affair 3-In-1 Strengthener, Base & Top Coat - Nail Paint",Plum,188 ,11 ml,Transparent,"Butyl Acetate, Ethyl Acetate, Nitrocellulose, Adipic acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer, Isopropyl Alcohol, Acetyl Tributyl Citrate, Stearalkonium Bentonite, Dipropylene Glycol Dibenzoate, Acrylates Copolymer, n-Butyl Alcohol, Diacetone Alcohol, Silica, Phosphoric Acid, Avocado Oil, Tocopheryl Acetate, Benzophenone - 1.",Liquid,"This 3-in-1 Strengthener, Base & Top Coat can be used in 3 ways:
As a hardening treatment - apply twice a week to promote strong healthy nails, especially effective on brittle nails.
As a base coat - apply one coat before your nail polish.
As a top coat - apply one coat on top of your dust free nail polish.",24 months,,India,,"Paraben-Free,Vegan,Cruelty-Free","As a hardening treatment - helps strengthen brittle nails when applied consistently, twice a week.
As a base coat - prevents your nail polish from chipping for days after application.
As a top coat - helps retain the glossy finish of your nail polish for a longer duration.
Enriched with a touch of AHA & Avocado oil for that extra nourishment.",Pca.JPG,,,Glass Bottle,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
MARS Cosmetics Edge of Desire Lip Liner,MARS,61,1.4g,Deep Dawn,"Hydrogenated Polyisobutene,Ozokerite,Cetearyl Methicone,Theobroma Cacao (Cocoa) Seed Butter,Mica,Microcrystalline Wax,Tridecyl Trimellitate,Caprylliic//Capriic Triigllyceriide,Hydrogenated Polyisobutene,Copernicia Cerifera Cera,Phenoxyethanol,Tocopheryl Acetate,Caprylyi Glycol",Pencil,A little smile in your face and stret out your lips then apply it,48 months,,China,,"Cruelty-Free,Natural,Vegetarian",,Meod.JPG,,,Pack,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Maybelline New York Fit Me Matte + Poreless Liquid Foundation (Natural Beige 220),Maybelline New York,441,30 ml,Natural Beige 220,"Aqua / Water / Eau,Cyclohexasiloxane,Nylon-12,Isododecane,Alcohol Denat,Cyclopentasiloxane,Peg-10 Dimethicone,Cetyl Peg/Ppg-10/1 Dimethicone,Peg-20,Polyglyceryl-4 Isostearate,Disteardimonium Hectorite,Phenoxyethanol,Magnesium Sulfate,Disodium Stearoyl Glutamate,Hdi/Trimethylol,Hexyllactone Crosspolymer,Titanium Dioxide,Methylparaben,Acrylates Copolymer,Tocopherol,Butylparaben,Aluminum Hydroxide,Alumina,Silica,Glycerin.",Liquid,"Pour foundation on the back of your hand.
Use your finger to place foundation in dots on face.
Blend with fingertips or an applicator for a flawless matte finish.",36 months,,China,"Mattifying & Pore Minimizing.
Skin fitting tone and texture.
Natural Coverage.
Doesn’t clog pores.
Warm Undertone (More Yellow).","Dermatologically Tested,Non-Comedogenic","Coverage

Medium
Concern

Oil Control, Sun Protection
Skin Type

Normal to Oily
Storage Tips

Store in a cool and dry place",Mfm.JPG,,Medium/Wheatish,Glass Bottle,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Pep Nails Luxury Press On Nails Kit (Drop Dead Gorgeous),Pep Nails,720,1,Nude,"ABS, acrylics, Cyanoacrylate, Isopropyl Alcohol,",kit,"How to apply?

1. Find your sizes.
2. Remove any polish from your nails.
3. Push your cuticles back.
4. Sanitise with alcohol swabs.
5. Buff your natural nails with the nail filer.
6. Apply glue tabs or glue carefully.
7. Stick the nails, press for 30 seconds and done!
8. If required, cut, file and shape as per your liking.

How to remove?

1. Soak in warm soapy water for 10-20 minutes.
2. Remove the pep nails using the sloping edge of the cuticle stick.
3. Pat your hands dry.
4. Gently, buff off the glue with the nail filer or the nail buffer.
5. Lastly, follow all the steps on pep four way nail buffer for glossy nails.

(For detailed instructions please check the instructions manual provided in the box).",12 months,,China,"Half the cost of salon nails.
Reusable upto 4 to 5 times.
Stays upto 2-3 weeks.
24 nails to ensure perfect and natural fit.
Apply and remove in 10 minutes.
Absolutely non damaging.

Ps: Pep Nails will make your hands look delicious!",Non-Toxic,,DDGnk.JPG,Short Length,All,Mono Carton,yes,"You may replace this item within 72 hours of buying if in case it is found faulty, damaged or incorrect. After 72 hours, kindly contact the brand service centre. In case of an incorrect item, you may raise a replacement request only if the item is sealed/ unopened/ unused and in original condition.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
Ruby's Organics Smoked Kajal + Eyeliner Pencil,Ruby's,501,0.35 g,Black,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
